Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Product Type,Services
Academic purpose,F,53.24,9,Laptop for Work,
Personal Use,F,55.58,9,Laptop for Home,
Academic purpose,F,59.34,1,Gaming Laptop,
Big Organization,M,35.34,2,Desktops for Business,
Personal Use,F,59.12,8,Servers for Small Businesses,
Small organization,F,32.24,4,Servers for Large Businesses,
Big Organization,M,21.48,8,Workstations for Professional Use,
Gaming Purpose,M,34.6,8,Laptop for Work,
Small Organization,M,31.39,9,Laptop for Home,
Small Organization,M,22.15,7,Gaming Laptop,
Big Organization,M,57.68,9,Desktops for Business,
Small organization,M,21.53,3,Servers for Small Businesses,
Small Organization,M,23.13,6,Servers for Large Businesses,
Gaming Purpose,M,34.96,5,Workstations for Professional Use,
Small organization,F,59.82,10,Laptop for Work,
Personal Use,M,37.18,3,Laptop for Home,
Academic purpose,F,52.68,8,Gaming Laptop,
Big Organization,M,40.7,10,Desktops for Business,
Personal Use,M,31.33,1,Servers for Small Businesses,
Personal Use,F,34.21,5,Servers for Large Businesses,
Small organization,M,45.15,2,Workstations for Professional Use,
Personal Use,M,28.32,4,Laptop for Work,
Small organization,F,28.62,5,Laptop for Home,
Small organization,F,52.45,10,Gaming Laptop,
Personal Use,M,46.9,4,Desktops for Business,
Gaming Purpose,F,25.13,8,Servers for Small Businesses,
Small Organization,F,24.64,8,Servers for Large Businesses,
Big Organization,M,43.36,6,Workstations for Professional Use,
Small organization,M,50.07,5,Laptop for Work,
Small organization,F,38.37,1,Laptop for Home,
Big Organization,F,45.33,3,Gaming Laptop,
Academic purpose,F,45.55,3,Desktops for Business,
Academic purpose,M,51.06,1,Servers for Small Businesses,
Gaming Purpose,F,35.64,7,Servers for Large Businesses,
Big Organization,M,33.18,3,Workstations for Professional Use,
Small organization,M,48.23,8,Laptop for Work,
Big Organization,M,31.03,3,Laptop for Home,
Big Organization,F,42.43,7,Gaming Laptop,
Small Organization,F,22.66,3,Desktops for Business,
Big Organization,F,49.81,5,Servers for Small Businesses,
Small organization,M,53.42,10,Servers for Large Businesses,
Big Organization,M,44.64,2,Workstations for Professional Use,
Small organization,M,42.78,8,Laptop for Work,
Big Organization,M,38.3,8,Laptop for Home,
Personal Use,M,49.42,5,Gaming Laptop,
Gaming Purpose,M,47.04,3,Desktops for Business,
Academic purpose,M,58.56,1,Servers for Small Businesses,
Big Organization,M,49.87,5,Servers for Large Businesses,
Small Organization,M,32.51,6,Workstations for Professional Use,
Gaming Purpose,M,53.8,5,Laptop for Work,
Gaming Purpose,M,29.53,10,Laptop for Home,
Small organization,M,32.31,2,Gaming Laptop,
Personal Use,F,39.9,4,Desktops for Business,
Big Organization,M,48.99,6,Servers for Small Businesses,
Big Organization,F,46.24,7,Servers for Large Businesses,
Small organization,F,59.57,8,Workstations for Professional Use,
Big Organization,M,35.09,5,Laptop for Work,
Gaming Purpose,M,55.06,9,Laptop for Home,
Gaming Purpose,M,37.76,10,Gaming Laptop,
Big Organization,F,39.24,7,Desktops for Business,
Academic purpose,M,44.35,9,Servers for Small Businesses,
Academic purpose,M,35.35,5,Servers for Large Businesses,
Personal Use,M,25.16,7,Workstations for Professional Use,
Personal Use,F,44.05,1,Laptop for Work,
Gaming Purpose,M,59.2,1,Laptop for Home,
Personal Use,F,30.59,5,Gaming Laptop,
Small Organization,M,24.04,2,Desktops for Business,
Small Organization,M,58.35,8,Servers for Small Businesses,
